name,pop2022
Nigeria,218541.212
Ethiopia,123379.924
Egypt,110990.103
DR Congo,99010.212
Tanzania,65497.748
South Africa,59893.885
Kenya,54027.487
Uganda,47249.585
Sudan,46874.204
Algeria,44903.225
Morocco,37457.971
Angola,35588.987
Ghana,33475.87
Mozambique,32969.518
Madagascar,29611.714
Ivory Coast,28160.542
Cameroon,27914.536
Niger,26207.977
Burkina Faso,22673.762
Mali,22593.59
Malawi,20405.317
Zambia,20017.675
Chad,17723.315
Somalia,17597.511
Senegal,17316.449
Zimbabwe,16320.537
Guinea,13859.341
Rwanda,13776.698
Benin,13352.864
Burundi,12889.576
