,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0
count,16833.0,16833.0,16833.0,16833.0,16833.0
mean,24607.642578125,51271.826586318,71883.59876326036,90817.68169561353,107262.19500007985
std,182003.1875,384976.206006564,546249.4802807954,700150.5540439538,839775.4143688155
min,0.0,0.0,0.0,0.0,0.0
10%,62.1845588684082,141.27259652590504,171.86788860277022,192.30533595578385,208.60236685839388
25%,237.45335388183594,420.95155381721565,525.2292525963102,601.1170636918265,649.7594500469684
50%,1101.35009765625,2293.68535375713,3090.164021844817,3864.3109168727324,4391.9729603794585
75%,13876.466796875,28722.04111742498,39169.75142460052,47592.54372094587,53805.849552464766
80%,23255.609375,46989.259020144425,63158.416529719325,77632.0432299055,89202.5398340857
85%,34762.72265625,70047.70592105815,94724.85419950314,115628.03598660286,131596.42965127263
90%,54392.703125,111268.03388367814,153713.21705867432,192772.1483054508,222652.1631095927
95%,98169.4609375,202566.7518460083,285558.4114193069,359757.2199276483,426602.10745469
max,13991404.0,29894275.702353645,41512893.68965083,52022319.81896989,61104525.728316404
